n,Selection,Insertion,Merge,Heap,Quick,Counting
1000,0.000994,0.000113,0.000068,0.000112,0.001157,0.000014
2000,0.003821,0.000384,0.000137,0.000249,0.002546,0.000020
3000,0.008794,0.000814,0.000217,0.000404,0.004116,0.000027
4000,0.015857,0.001463,0.000311,0.000569,0.006465,0.000036
5000,0.025442,0.002283,0.000402,0.000734,0.007580,0.000037
6000,0.036458,0.003365,0.000501,0.000889,0.009286,0.000047
7000,0.048644,0.004538,0.000548,0.001053,0.010372,0.000054
8000,0.064522,0.005870,0.000668,0.001197,0.012120,0.000059
9000,0.081211,0.007183,0.000724,0.001372,0.013419,0.000060
10000,0.096686,0.008442,0.000817,0.001533,0.014704,0.000065
11000,0.117476,0.009829,0.000889,0.001698,0.016639,0.000076
12000,0.136957,0.010611,0.000980,0.001851,0.018156,0.000075
13000,0.159457,0.011313,0.001031,0.001977,0.019694,0.000081
14000,0.184545,0.012357,0.001105,0.002110,0.021324,0.000085
15000,0.211003,0.013842,0.001181,0.002292,0.023251,0.000090
16000,0.239774,0.014186,0.001259,0.002433,0.025098,0.000096
17000,0.270408,0.015368,0.001344,0.002596,0.026885,0.000103
18000,0.306077,0.016311,0.001432,0.002799,0.028783,0.000109
19000,0.337319,0.017245,0.001508,0.002933,0.030629,0.000114
20000,0.378382,0.018347,0.001626,0.003134,0.033333,0.000121
