n,Selection,Insertion,Merge,Heap,Quick,Counting
1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2000,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000
3000,0.007500,0.000000,0.000000,0.000000,0.000000,0.000000
4000,0.008000,0.004500,0.000000,0.000000,0.000000,0.000000
5000,0.003500,0.015500,0.000000,0.000000,0.000000,0.000000
6000,0.015500,0.016500,0.000000,0.000000,0.000000,0.000000
7000,0.026000,0.013500,0.000000,0.000000,0.000000,0.000000
8000,0.032000,0.015000,0.000000,0.000000,0.000000,0.000000
9000,0.032000,0.031500,0.000000,0.000000,0.000000,0.000000
10000,0.040000,0.032000,0.000000,0.006500,0.000500,0.000000
11000,0.055500,0.032500,0.000000,0.000000,0.000000,0.000000
12000,0.065000,0.037500,0.007500,0.000000,0.000000,0.000000
13000,0.071000,0.055500,0.000500,0.000000,0.000000,0.000000
14000,0.087000,0.052500,0.000000,0.002500,0.007500,0.000000
15000,0.093000,0.065500,0.000000,0.007500,0.000000,0.000000
16000,0.103500,0.075000,0.000000,0.004500,0.008000,0.000000
17000,0.110500,0.087500,0.000500,0.007500,0.000000,0.000000
18000,0.143500,0.094000,0.000000,0.000000,0.000000,0.000000
19000,0.193000,0.113000,0.000000,0.016000,0.000000,0.000000
20000,0.188500,0.125500,0.000000,0.000000,0.008000,0.000000
