n,Selection,Insertion,Merge,Heap,Quick,Counting
1000,0.000995,0.001080,0.000068,0.000108,0.001191,0.000015
2000,0.003899,0.004160,0.000143,0.000236,0.003622,0.000020
3000,0.009475,0.009902,0.000229,0.000381,0.006752,0.000029
4000,0.016685,0.016980,0.000306,0.000523,0.009711,0.000031
5000,0.027045,0.026572,0.000384,0.000646,0.012831,0.000039
6000,0.039043,0.037921,0.000467,0.000811,0.015903,0.000042
7000,0.052727,0.052374,0.000549,0.000949,0.019327,0.000050
8000,0.068603,0.067434,0.000632,0.001082,0.021985,0.000053
9000,0.086747,0.086225,0.000717,0.001244,0.025119,0.000059
10000,0.105799,0.104239,0.000797,0.001390,0.027765,0.000068
11000,0.129141,0.126906,0.000872,0.001522,0.030798,0.000069
12000,0.152668,0.150528,0.000981,0.001714,0.033862,0.000074
13000,0.178141,0.176158,0.001022,0.001834,0.036627,0.000085
14000,0.206612,0.204928,0.001106,0.001994,0.039722,0.000086
15000,0.234825,0.233832,0.001181,0.002145,0.042517,0.000090
16000,0.267507,0.267510,0.001268,0.002316,0.045784,0.000096
17000,0.299063,0.300326,0.001347,0.002464,0.048427,0.000103
18000,0.337281,0.340049,0.001453,0.002633,0.051909,0.000110
19000,0.373716,0.377852,0.001525,0.002765,0.054619,0.000114
20000,0.410240,0.416841,0.001594,0.002951,0.057758,0.000120
