n,Selection,Insertion,Merge,Heap,Quick,Counting
1000,0.007500,0.000000,0.000000,0.000000,0.000000,0.000000
2000,0.000000,0.000000,0.000000,0.000000,0.008000,0.000000
3000,0.007500,0.000000,0.000000,0.000000,0.008000,0.000000
4000,0.000000,0.000000,0.000000,0.000000,0.012500,0.000000
5000,0.008000,0.000000,0.000000,0.000000,0.008000,0.000000
6000,0.015500,0.000000,0.000000,0.000000,0.008000,0.000000
7000,0.030500,0.000000,0.000000,0.000500,0.008000,0.000000
8000,0.031000,0.000000,0.000000,0.000000,0.008500,0.000000
9000,0.039000,0.000000,0.000000,0.008000,0.007500,0.000000
10000,0.063000,0.000000,0.000000,0.000000,0.015500,0.000000
11000,0.055500,0.008000,0.000000,0.000000,0.008000,0.000000
12000,0.055000,0.000000,0.000000,0.007500,0.008000,0.000000
13000,0.095000,0.000000,0.000000,0.000000,0.015000,0.000000
14000,0.078500,0.000000,0.007500,0.000000,0.016000,0.000000
15000,0.110500,0.000000,0.000000,0.000000,0.024000,0.000000
16000,0.110000,0.000000,0.000000,0.015500,0.016000,0.000000
17000,0.142000,0.000000,0.000000,0.007500,0.023500,0.000000
18000,0.136500,0.000000,0.007500,0.000000,0.021000,0.000000
19000,0.146000,0.000000,0.000000,0.000000,0.025500,0.000000
20000,0.180500,0.000000,0.000000,0.000000,0.016000,0.000000
